INFO:root:monster: (4, 3); door: (2, 1); player: (4, 0)
INFO:root:monster: (1, 1); door: (4, 1); player: (2, 2)
INFO:root:monster: (3, 0); door: (1, 2); player: (4, 1)
INFO:root:monster: (2, 1); door: (0, 3); player: (0, 2)
INFO:root:monster: (1, 2); door: (2, 4); player: (0, 4)
INFO:root:monster: (4, 4); door: (1, 0); player: (3, 2)
INFO:root:monster: (1, 0); door: (1, 1); player: (3, 2)
INFO:root:monster: (2, 4); door: (4, 2); player: (3, 2)
INFO:root:monster: (4, 1); door: (3, 0); player: (1, 0)
INFO:root:monster: (4, 2); door: (1, 1); player: (4, 3)
INFO:root:monster: (3, 0); door: (0, 1); player: (2, 0)
INFO:root:monster: (3, 2); door: (2, 3); player: (1, 2)
INFO:root:monster: (3, 3); door: (3, 1); player: (0, 4)
INFO:root:monster: (2, 4); door: (1, 4); player: (3, 4)
INFO:root:monster: (1, 2); door: (4, 1); player: (2, 1)
